create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
48:04.7,30.53638,edd7e473-b3ff-4106-b035-6ae72d0cb903.achievement.json,37,6000,1.58458E+12,1.6876311,7n2EPhZRXI,19057,com.sec.android.app.shealth,com.sec.android.app.shealth,48:04.7,37,edd7e473-b3ff-4106-b035-6ae72d0cb903.binning_data.json,edd7e473-b3ff-4106-b035-6ae72d0cb903,1.3256786,0,,0
30:01.3,291.0341,2ccb2372-9343-47e5-ad12-d2db1da11507.achievement.json,372,6000,1.59235E+12,2.5485806,7n2EPhZRXI,203384,com.sec.android.app.shealth,com.sec.android.app.shealth,30:01.3,372,2ccb2372-9343-47e5-ad12-d2db1da11507.binning_data.json,2ccb2372-9343-47e5-ad12-d2db1da11507,12.348706,0,,0
22:49.1,144.81,5eb15963-d31e-4d1e-9a34-f653bb6e06d0.achievement.json,188,6000,1.58812E+12,1.4218395,VfS0qUERdZ,101846,com.sec.android.app.shealth,com.sec.android.app.shealth,22:49.1,187,5eb15963-d31e-4d1e-9a34-f653bb6e06d0.binning_data.json,5eb15963-d31e-4d1e-9a34-f653bb6e06d0,7.5,1,5eb15963-d31e-4d1e-9a34-f653bb6e06d0.source_info.json,0
23:22.7,771.141,140610e9-7983-48a3-9a14-a162908f4920.achievement.json,992,6000,1.59062E+12,1.4525149,VfS0qUERdZ,530900,com.sec.android.app.shealth,com.sec.android.app.shealth,23:22.7,979,140610e9-7983-48a3-9a14-a162908f4920.binning_data.json,140610e9-7983-48a3-9a14-a162908f4920,34.57,13,140610e9-7983-48a3-9a14-a162908f4920.source_info.json,0
40:51.7,913.48,f363dfc8-7b81-4f3f-9abc-35189ffde90b.achievement.json,1178,6000,1.58501E+12,3.5,eyB2V5o7BM,620514,com.sec.android.app.shealth,com.sec.android.app.shealth,45:56.9,1157,f363dfc8-7b81-4f3f-9abc-35189ffde90b.binning_data.json,f363dfc8-7b81-4f3f-9abc-35189ffde90b,42.89,21,,0
05:49.0,367.3309,dc787664-bb7a-4784-bafc-b80f427ccdbb.achievement.json,462,6000,1.59252E+12,2.0329006,7n2EPhZRXI,247618,com.sec.android.app.shealth,com.sec.android.app.shealth,05:49.0,460,dc787664-bb7a-4784-bafc-b80f427ccdbb.binning_data.json,dc787664-bb7a-4784-bafc-b80f427ccdbb,15.566525,2,,0
26:59.7,3007.9844,d646a6ea-b01c-4436-99ba-9876a3d7aae7.achievement.json,3815,6000,1.58397E+12,4.2236295,7n2EPhZRXI,1984429,com.sec.android.app.shealth,com.sec.android.app.shealth,26:59.7,3805,d646a6ea-b01c-4436-99ba-9876a3d7aae7.binning_data.json,d646a6ea-b01c-4436-99ba-9876a3d7aae7,128.00517,10,,0
50:32.7,350.4594,469d5a10-459c-4872-8f30-d4f9c9dbadce.achievement.json,417,6000,1.5908E+12,6.9444447,7n2EPhZRXI,212632,com.sec.android.app.shealth,com.sec.android.app.shealth,50:32.7,416,469d5a10-459c-4872-8f30-d4f9c9dbadce.binning_data.json,469d5a10-459c-4872-8f30-d4f9c9dbadce,15.464001,1,,0
22:48.2,111.11,f6e3c043-eec3-4958-aed2-ba89a35c8e27.achievement.json,130,6000,1.5876E+12,2.9166667,eyB2V5o7BM,64937,com.sec.android.app.shealth,com.sec.android.app.shealth,22:48.2,112,f6e3c043-eec3-4958-aed2-ba89a35c8e27.binning_data.json,f6e3c043-eec3-4958-aed2-ba89a35c8e27,6.61,18,,0
09:37.5,399.421,fd08aeef-14aa-4a80-8b85-151b00c3e66d.achievement.json,523,6000,1.59036E+12,1.3304621,VfS0qUERdZ,300212,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.5,522,fd08aeef-14aa-4a80-8b85-151b00c3e66d.binning_data.json,fd08aeef-14aa-4a80-8b85-151b00c3e66d,18.92,1,fd08aeef-14aa-4a80-8b85-151b00c3e66d.source_info.json,0
16:07.6,538.34753,4eae59ef-2dab-461f-81cd-669f46bc7ad2.achievement.json,687,6000,1.58976E+12,1.4720161,VfS0qUERdZ,365721,com.sec.android.app.shealth,com.sec.android.app.shealth,09:38.0,662,4eae59ef-2dab-461f-81cd-669f46bc7ad2.binning_data.json,4eae59ef-2dab-461f-81cd-669f46bc7ad2,25.042553,25,4eae59ef-2dab-461f-81cd-669f46bc7ad2.source_info.json,0
40:00.1,62.258705,e8016a1c-3baf-4a22-8277-8b2c1329c8f5.achievement.json,78,6000,1.58414E+12,1.7804114,7n2EPhZRXI,41237,com.sec.android.app.shealth,com.sec.android.app.shealth,40:00.1,78,e8016a1c-3baf-4a22-8277-8b2c1329c8f5.binning_data.json,e8016a1c-3baf-4a22-8277-8b2c1329c8f5,2.608884,0,,0
33:57.4,1181.697,fc93b7ce-2d08-4cc0-835c-08fda9a70040.achievement.json,1537,6000,1.59123E+12,2.1111112,eyB2V5o7BM,838400,com.sec.android.app.shealth,com.sec.android.app.shealth,33:57.4,1512,fc93b7ce-2d08-4cc0-835c-08fda9a70040.binning_data.json,fc93b7ce-2d08-4cc0-835c-08fda9a70040,52.02,25,,0
22:49.3,111.11,cf47ca92-6423-4244-8121-452ef168960f.achievement.json,130,6000,1.5876E+12,1.7109149,VfS0qUERdZ,64941,com.sec.android.app.shealth,com.sec.android.app.shealth,22:49.3,112,cf47ca92-6423-4244-8121-452ef168960f.binning_data.json,cf47ca92-6423-4244-8121-452ef168960f,6.61,18,cf47ca92-6423-4244-8121-452ef168960f.source_info.json,0
09:37.4,407.739,ccb98ddc-471a-4bbe-9915-afa98d8f4dac.achievement.json,532,6000,1.59045E+12,1.3565094,VfS0qUERdZ,300579,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.4,519,ccb98ddc-471a-4bbe-9915-afa98d8f4dac.binning_data.json,ccb98ddc-471a-4bbe-9915-afa98d8f4dac,19.21,13,ccb98ddc-471a-4bbe-9915-afa98d8f4dac.source_info.json,0
40:20.2,640.3,f53bdb8e-1a93-4446-bdd9-cc9b8f469bab.achievement.json,851,6000,1.58432E+12,1.3425821,VfS0qUERdZ,476916,com.sec.android.app.shealth,com.sec.android.app.shealth,40:20.2,850,f53bdb8e-1a93-4446-bdd9-cc9b8f469bab.binning_data.json,f53bdb8e-1a93-4446-bdd9-cc9b8f469bab,30.42,1,f53bdb8e-1a93-4446-bdd9-cc9b8f469bab.source_info.json,0
16:07.7,526.93,55d51e7e-09c8-4d28-961f-31efcb5adf51.achievement.json,672,6000,1.58976E+12,3.9722219,eyB2V5o7BM,357469,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.3,647,55d51e7e-09c8-4d28-961f-31efcb5adf51.binning_data.json,55d51e7e-09c8-4d28-961f-31efcb5adf51,24.54,25,,0
